"Welche drei der folgenden Kriterien sind Teil der Definition von Usability?","2 Grundlegende Begriffe und Konzepte","A Barrierefreiheit | B Effizienz | C Vollständigkeit | D Effektivität | E Zufriedenstellung | F Geschwindigkeit","0 1 0 1 1 0","",""
"Welche drei der folgenden Eigenschaften sind ausschlaggebend für eine korrekte Persona?","5 Den Nutzungskontext verstehen und festlegen","A Es muss ein konstruierter und realistischer Benutzer beschrieben werden, der aber nicht real existieren darf. | B Die Grundlage der Persona müssen immer empirisch ermittelte Daten sein. | C Die Persona-Beschreibung muss immer aussagen, welche Ziele der Benutzer bei der Benutzung des betrachteten interaktiven Systems verfolgt. | D Es müssen immer enthalten sein: Ein Foto, Vorund Nachname, Alter, Ziele und Wünsche, aktuelle Probleme, Informationen über wesentliches Wissen im Themenfeld des interaktiven Systems und die Benennung des interaktiven Systems selbst. | E Pro Benutzergruppe wird immer nur eine Persona erstellt. | F Die Persona muss erstellt werden auf Basis empirisch ermittelter Daten über mindestens fünf verschiedene reale Benutzer.","1 1 1 0 0 0","",""
"Folgende Frage soll in einem kontextuellen Interview zur Analyse des Nutzungskontextes einer Verkehrsampel gestellt werden: »Möchten Sie eine visuelle Rückmeldung von der Verkehrsampel erhalten, ob der Fußgängerknopf bereits gedrückt wurde?« Welche zwei der folgenden Ausdrücke charakterisieren die Interviewfrage am besten?","5 Den Nutzungskontext verstehen und festlegen","A Neutral | B Geschlossen | C Suggestiv | D Implizit | E Offen | F Explizit","0 1 1 0 0 0","",""
"Welche eine der folgenden Punkte ist die korrekte Definition des Begriffs »Benutzer« im Kontext der menschzentrierten Gestaltung?","5 Den Nutzungskontext verstehen und festlegen","A Eine Person, die ein interaktives System benutzt oder benutzen könnte | B Eine Person, die ein interaktives System benutzt oder die etwas bereitstellt, was im Rahmen der Interaktion mit dem System verwendet wird | C Eine Person, die mit einem interaktiven System interagiert oder die Ergebnisse benutzt, die von dem interaktiven System erzeugt werden | D Eine Person mit einem aktiven Interesse an einem interaktiven System | E Ein Mensch, der ein interaktives System benutzt oder von der Benutzung des interaktiven Systems beeinflusst wird | F Ein Mensch, der einen direkten Einfluss auf die Benutzung eines interaktiven Systems hat","0 0 1 0 0 0","",""
"Welche zwei der folgenden Fragen sind am besten geeignet, den Nutzungskontext einer Hotelbuchungs-Website zu verstehen, wenn eine Benutzerbefragung verwendet wird?","5 Den Nutzungskontext verstehen und festlegen","A Was erwarten Sie von einer Hotelbuchungs-Website? | B Wie zufrieden sind Sie mit der neuen Buchungswebsite für das Hotel Zeta in Brüssel? | C Wie beurteilen Sie die Aussage: »Die neue Hotelbuchungs-Website sieht gut aus«? | D Aus welchem Grund haben Sie zuletzt eine Hotelbuchungs-Website genutzt? | E Wie sind derzeit die finanziellen Aussichten für neue Hotels? | F Wie beurteilen Sie die Aussage: »Die neue Hotelbuchungs-Website entspricht meinen Erwartungen«?","1 0 0 1 0 0","",""
"Welche drei der folgenden Aussagen sind korrekt formulierte Erfordernisse in Bezug auf das interaktive System Verkehrsampel?","6 Nutzungsanforderungen festlegen","A Der Fußgänger muss wissen, ob die Fußgängerampel grün ist, um gefahrlos über die Straße gehen zu können. | B Die Fußgängerin muss wissen, ob heraneilende Fahrzeuge anhalten werden, um entscheiden zu können, ob sie die Straße überquert oder stehen bleibt. | C Der Autofahrer muss wissen, wie lange er noch legal die Kreuzung passieren darf, um entscheiden zu können, ob er seine Geschwindigkeit erhöhen und schnell noch über die Kreuzung fahren soll oder abbremsen soll. | D Die Autofahrerin muss wissen, ob sie beim Abbiegen nach links mit Gegenverkehr oder mit Fußgängern auf der Zielstraße rechnen muss. | E Der Fußgänger muss vor Betreten der Straße wissen, wie lange er noch Zeit hat, die Straße gefahrlos zu überqueren, um zu entscheiden, ob er die Straße überquert oder stehen bleibt. | F Der Autofahrer muss in der Lage sein, bei jeder Art der Sonneneinstrahlung die legale Überquerbarkeit der Kreuzung zu erkennen.","0 1 1 0 1 0","",""
"Welche zwei der folgenden Aussagen sind NICHT korrekt in Bezug auf qualitative Nutzungsanforderungen?","6 Nutzungsanforderungen festlegen","A Nutzungsanforderungen werden aus Erfordernissen abgeleitet. | B Nutzungsanforderungen beschreiben die Gestaltung der Benutzungsschnittstelle so wie sie vom Benutzer gebraucht wird. | C In der Formulierung einer Nutzungsanforderung sollte immer die erforderliche Interaktion mit einem interaktiven System spezifiziert sein. | D Eine Nutzungsanforderung muss immer so formuliert sein, dass objektiv überprüft werden kann, ob sie eingehalten wird oder nicht. | E Nutzungsanforderungen können basierend auf Usability-Tests mit dem neu gestalteten interaktiven System angepasst oder ergänzt werden. | F Die Grundlage der Formulierung von Nutzungsanforderungen ist immer eine Nutzungskontextanalyse.","0 1 0 0 0 1","",""
"Welche drei der folgenden Aussagen über Erfordernisse und Nutzungsanforderungen sind korrekt?","6 Nutzungsanforderungen festlegen","A Erfordernisse werden aus Nutzungsanforderungen abgeleitet. | B Nutzungsanforderungen werden aus Erfordernissen abgeleitet. | C Erfordernisse sind eine spezifische Form von Nutzungsanforderungen, die sich direkt aus den Zielen der Benutzer ableiten lassen. | D Erfordernisse sind immer unabhängig von irgendeiner Lösung, wogegen Nutzungsanforderungen die Basis für eine Lösung sind. | E Erfordernisse und Nutzungsanforderungen haben keine Beziehung zueinander, sie dienen parallel als Maßgabe für die Entwicklung erfolgreicher Lösungen. | F Erfordernisse beziehen sich primär auf das, was im Nutzungskontext erforderlich ist, wogegen Nutzungsanforderungen sich primär auf die notwendige Interaktion des Benutzers mit einem interaktiven System beziehen.","0 1 0 1 0 1","",""
"Im Folgenden werden Aussagen zu Interessenvertretern einer Verkehrsampel gemacht. Welche drei der folgenden Aussagen sind korrekt?","6 Nutzungsanforderungen festlegen","A Eine Produktentwicklerin, die den Fußgängerknopf der Verkehrsampel technisch umsetzt, hat vorrangig Marktanforderungen an die Gestaltung der Verkehrsampel. | B Ein Bürger, der an der Verkehrsampel die Straße überqueren will, hat vorrangig organisatorische Anforderungen an die Gestaltung der Verkehrsampel. | C Der Gesetzgeber hat vorrangig Marktanforderungen für den Einsatz von Verkehrsampeln. | D Für ein Baby in einem Kinderwagen, das von einem Erwachsenen bei einer Fußgängerampel über die Straße geschoben wird, können sich Nutzungsanforderungen an die Gestaltung der Verkehrsampel ergeben. | E Ein Wartungsmitarbeiter, der defekte Verkehrsampeln repariert, hat vor allem organisatorische Anforderungen bei der Durchführung der Wartung zu beachten. | F Die Amtsperson, die die Finanzierung von Verkehrsampeln verantwortet, stellt Anforderungen hinsichtlich der zulässigen Kosten der Verkehrsampel.","0 0 0 1 1 1","",""
"Bei welchen drei der folgenden Aussagen handelt es sich um eine Kombination von einem Erfordernis und einer Nutzungsanforderung, bei der die Nutzungsanforderung aus dem Erfordernis ableitbar ist?","6 Nutzungsanforderungen festlegen","A Erfordernis: Der Kunde muss wissen, welche Zutaten zum Belegen einer selbst zusammengestellten Pizza verfügbar sind, um sich seine Pizza zusammenstellen zu können. Nutzungsanforderung: Der Kunde muss auf der Website des PizzaLieferservice die verfügbaren Zutaten überblicken können. | B Erfordernis: Der Kunde muss wissen, wann die Pizzabestellung bei ihm eintreffen wird, um entscheiden zu können, ob er die Bestellung durchführen möchte oder nicht. Nutzungsanforderung: Der Kunde muss auf der Website des PizzaLieferservice den voraussichtlichen Lieferzeitpunkt seiner Bestellung erkennen können. | C Erfordernis: Der Kunde muss wissen, welche Zahlungsmöglichkeiten verfügbar sind, um entscheiden zu können, ob er die Bestellung mit einem der angebotenen Zahlungsmittel durchführen möchte oder nicht. Nutzungsanforderung: Der Kunde muss auf der Website als Zahlungsmittel die Details seiner Kreditkarte eingeben können. | D Erfordernis: Der Kunde muss die Bestellung im Überblick prüfen können, bevor er die Bestellung abschließend auslöst. Nutzungsanforderung: Der Kunde muss auf der Webseite vor dem Kauf die Zutaten für jede bestellte Pizza überblicken können. | E Erfordernis: Der Kunde muss wissen, bei welchem Pizza-Lieferservice er gerade bestellt, um sicherzustellen, dass der Pizza-Lieferservice die Pizza in der erwarteten Qualität liefert. Nutzungsanforderung: Der Kunde muss auf jeder Seite der Website des Pizza-Lieferservice das Logo und den Namen des Pizza-Lieferservice erkennen können. | F Erfordernis: Der Kunde muss vor dem Kauf wissen, welche Zahlungsmöglichkeiten verfügbar sind, um entscheiden zu können, ob er die Bestellung durchführen möchte oder nicht. Nutzungsanforderung: Als Zahlungsmittel müssen »Barzahlung bei Lieferung«, »PayPal« und »Kreditkarte« angeboten werden.","1 1 0 0 1 0","",""
"Welche drei der folgenden Aussagen sind korrekt in Bezug auf die Unterschiede zwischen Marktanforderungen, organisatorischen Anforderungen und Nutzungsanforderungen?","6 Nutzungsanforderungen festlegen","A Die Zielsetzung von Marktanforderungen ist, Geschäftschancen, Absatz und Nutzen für das Unternehmen zu maximieren. Damit können Marktanforderungen durchaus organisatorischen Anforderungen oder Nutzungsanforderungen entgegenstehen. | B Organisatorische Anforderungen sowie Marktanforderungen können sich aus gesetzlichen Anforderungen ergeben, Nutzungsanforderungen hingegen nicht. | C Organisatorische Anforderungen sind immer Anforderungen an die Benutzer, aus denen sich dann Anforderungen an das interaktive System ergeben können. | D Nutzungsanforderungen sind immer Anforderungen an die Nutzung des interaktiven Systems. | E Marktanforderungen werden oft auch »kaufentscheidende Nutzungsanforderungen« genannt. | F Organisatorische Anforderungen ergeben sich immer aus Marktanforderungen.","1 0 1 1 0 0","",""
"Welche drei der folgenden Aussagen über qualitative und quantitative Nutzungsanforderungen sind korrekt?","6 Nutzungsanforderungen festlegen","A Quantitative Nutzungsanforderungen können für eine UsabilityEvaluierung genutzt werden, qualitative Nutzungsanforderungen dagegen nicht, diese werden nur für die Steuerung der Lösungsgestaltung genutzt. | B Sowohl qualitative als auch quantitative Nutzungsanforderungen beziehen sich auf die Interaktion des Benutzers mit dem interaktiven System. | C Qualitative Nutzungsanforderungen werden aus Erfordernissen abgeleitet, quantitative Nutzungsanforderungen führen zu Erfordernissen. | D In einem Usability-Test kann nur die Erfüllung von qualitativen Nutzungsanforderungen geprüft werden, die Erfüllung von quantitativen Nutzungsanforderungen wird durch Benutzerbefragungen geprüft. | E Sowohl qualitative als auch quantitative Nutzungsanforderungen bilden die Grundlage für die Gestaltung des interaktiven Systems. | F Qualitative Nutzungsanforderungen werden in erster Linie zur Steuerung der Lösungsgestaltung genutzt, quantitative Nutzungsanforderungen in erster Linie als Akzeptanzkriterien.","0 1 0 0 1 1","",""
"Welche drei der folgenden Aussagen stellen Erfordernisse dar?","6 Nutzungsanforderungen festlegen","A Der Account Manager muss das tägliche Abrechnungsprotokoll erstellen können, basierend auf der Anzahl der erhaltenen Rechnungen und deren Beträgen. | B Der Autofahrer muss wissen, was die aktuelle Höchstgeschwindigkeit ist, um sicher und regelgerecht zu fahren. | C Die Laborantin muss die Reihenfolge der Messaufträge in einer Arbeitsliste frei bestimmen können, um die Messaufträge abarbeiten zu können. | D Der Account Manager muss wissen, wie viele Rechnungen erhalten wurden und in welcher Höhe, um das tägliche Abrechnungsprotokoll erstellen zu können. | E Der Koch muss einen hitzebeständigen Behälter (z.B. eine Pfanne) verfügbar haben, um auf dem Herd ein Steak braten zu können. | F Die Fußgängerin muss wissen, ob die Fußgängerampel grün ist, um gefahrlos über die Straße gehen zu können.","0 1 0 1 1 0","",""
"Welcher eine der unten stehenden Begriffe beschreibt die folgende Aussage am besten? 80% der Benutzer, die die Autovermietungs-Website schon mindestens zweimal genutzt haben, müssen in der Lage sein, am Flughafen Frankfurt ein Auto für zwei Tage ab morgen 09.00 Uhr zu mieten. Benutzer müssen die Aufgabe in weniger als 5 Minuten erledigen können.","6 Nutzungsanforderungen festlegen","A Low-Fidelity-Prototyp-Anforderung | B Nutzungsszenario | C Usability-Testaufgabe | D Erfordernis | E Quantitative Nutzungsanforderung | F Qualitative Nutzungsanforderung","0 0 0 0 1 0","",""
"Welche zwei der folgenden Aussagen sind gültige Nutzungsanforderungen für eine Autovermietungs-Website (im Gegensatz zu organisatorischen Anforderungen und Marktanforderungen)?","6 Nutzungsanforderungen festlegen","A Benutzer, die das System zum ersten Mal benutzen, müssen im Durchschnitt in der Lage sein, ein Auto innerhalb von 10 Minuten zu mieten. | B Das Firmenlogo muss in der oberen linken Ecke jeder Webseite erscheinen. | C Die Website muss mindestens so benutzbar sein wie die der zwei stärksten Wettbewerber. | D Der Benutzer muss ein Hilfesystem verfügbar haben. | E Wenn der Benutzer beruflich ein Auto mietet, muss er das Unternehmen angeben, in dessen Namen er mietet. | F Benutzer müssen auswählen können, dass die Reservierung storniert wird.","1 0 0 0 0 1","",""
"Welche zwei der folgenden Aussagen über Erfordernisse sind richtig?","6 Nutzungsanforderungen festlegen","A Erfordernisse werden immer aus Sicht des Benutzers formuliert. | B Erfordernisse sind Teil der Informationsarchitektur. | C Erfordernisse sind immer quantifiziert. | D Die Erfordernisse für eine Benutzergruppe können sich von den Erfordernissen für eine andere Benutzergruppe im gleichen Nutzungskontext unterscheiden. | E Erfordernisse sind identisch mit Benutzerzielen. | F Erfordernisse werden verwendet, um gute Fehlermeldungen zu formulieren.","1 0 0 1 0 0","",""
"Welche drei der folgenden Aussagen sind Nutzungsanforderungen an die Website eines Pizza-Lieferservice?","6 Nutzungsanforderungen festlegen","A Der Benutzer muss auf der Website auswählen können, ob er eine italienische Pizza oder eine amerikanische Pizza bestellen möchte. | B Die Website muss in der Lage sein, bis zu 30 Benutzer gleichzeitig eine Bestellung zusammenstellen zu lassen. | C Falls der Benutzer auf der Website ausgewählt hat, dass seine Pizza aus zwei unterschiedlich belegten Hälften bestehen soll, muss er anschließend für jede Zutat auswählen können, ob sie auf Hälfte 1 oder auf Hälfte 2 oder auf beide Hälften kommen soll. | D Der Benutzer muss wissen, wie viele Zutaten er maximal für eine selbst zusammengestellte Pizza auswählen darf, um eine bestellbare Pizza zusammenstellen zu können. | E Die Website muss von Benutzern als »einfach zu benutzen« bewertet werden. | F 95% der Benutzer der Website müssen eine selbst zusammengestellte Pizza ohne Fehler bestellen können.","1 0 1 0 0 1","",""
"Welche drei der folgenden Aussagen sind Marktanforderungen oder organisatorische Anforderungen, im Gegensatz zu Nutzungsanforderungen?","6 Nutzungsanforderungen festlegen","A Die Benutzer müssen im Laden vor der Kaufentscheidung ohne Konsultation eines Verkäufers verstanden haben, wie das Produkt funktioniert. | B Bevor der Benutzer auf Rechnung bestellen kann, muss er in den fünf vorherigen Bestellungen immer korrekt bezahlt haben. | C Der Benutzer muss vor Auslösen einer Bestellung auswählen können, dass er mindestens 18 Jahre alt ist. | D Der Benutzer muss mindestens 18 Jahre alt sein, damit er bestellen darf. | E Der Benutzer muss auf der Website jederzeit erkennen können, zu welchem Unternehmen die Website gehört. | F Der Benutzer muss vor der Anzeige des Gesamtbetrags seiner Bestellung seine Adresse eingeben können, damit ihm die Versandkosten korrekt angezeigt werden.","1 1 0 1 0 0","",""
"Welche drei der folgenden Aussagen über Erfordernisse sind korrekt?","6 Nutzungsanforderungen festlegen","A Erfordernisse sind Voraussetzungen, die gegeben sein müssen, damit der Benutzer ein bestimmtes Ziel erreichen kann. | B Erfordernisse sind Voraussetzungen, die hilfreich sind, damit der Benutzer sein Ziel erreichen kann. | C Erfordernisse werden ausschließlich mittels Interviews, Beobachtungen oder Benutzerbefragungen identifiziert. | D Erfordernisse werden aus Nutzungsanforderungen abgeleitet. | E Erfordernisse sind immer unabhängig von irgendeiner Lösung. | F Erfordernisse dienen dazu, Nutzungsanforderungen korrekt und umfassend spezifizieren zu können.","1 0 0 0 1 1","",""
"Welche zwei der folgenden Personen sind Interessenvertreter, aber KEINE Benutzer einer Autovermietungs-Website?","6 Nutzungsanforderungen festlegen","A Ein Trainer, der den Mitarbeitern eines Callcenters beibringt, wie man die Autovermietungs-Website benutzt | B Ein Mitarbeiter des Callcenters, der auf der Autovermietungs-Website für einen Kunden eine Reservierung vornimmt | C Ein Designer, der die Benutzungsschnittstelle der AutovermietungsWebsite gestaltet | D Ein Kontoadministrator, der eine E-Mail-Rechnung für eine Reservierung auf der Autovermietungs-Website bekommt | E Ein Kunde, der über einen Mitarbeiter im Callcenter eine Reservierung auf der Autovermietungs-Website vornehmen lässt | F Ein Mitarbeiter im Marketing, der über die AutovermietungsWebsite eine Werbeaktion mit »10% Rabatt auf die KfzVersicherung« laufen lässt, die für alle Benutzer gilt, die direkt über die Website ein Auto reservieren","0 0 1 0 0 1","",""
"Welche drei der folgenden Punkte sind Beispiele für UX-bezogene Ergebnisse der Informationsarchitektur?","6 Nutzungsanforderungen festlegen","A Die Festlegung der erlaubten Verwendung von Farben in der Benutzungsschnittstelle | B Das Datenmodell der Aufgabenobjekte in der Benutzungsschnittstelle des interaktiven Systems | C Die Strukturierung von Gestaltungsregeln in einem Styleguide | D Eine Liste aller Begriffe, die in der Benutzungsschnittstelle auftauchen | E Die Navigationsstruktur für die Dialogboxen, Seiten oder Fenster des interaktiven Systems | F Die Festlegung, bei welchem Touchpoint welche Informationen über das interaktive System dem Benutzer zur Verfügung gestellt werden","0 1 0 1 1 0","",""
"Welcher eine der folgenden Punkte ist KEIN Beispiel für Benutzerunterstützung?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Ein Anweisungstext in der Benutzungsschnittstelle | B Eine Bedienungsanleitung | C Hinweise, die angezeigt werden, um den Benutzer bei der Behebung eines Fehlers zu unterstützen | D Die Statusinformation »Das Dokument wurde gespeichert« | E Die Beschriftung »Datum« an einem Eingabefeld | F Ein Lehrvideo, wie vorgegangen werden muss, um eine bestimmte Aufgabe mit dem interaktiven System zu erledigen","0 0 0 0 1 0","",""
"Welche zwei der folgenden Aspekte sind Teil der Informationsarchitektur?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Styleguide | B Gestaltungsregeln | C Festlegen des Grafikdesigns | D Die Ausdrücke, die in der Benutzungsschnittstelle für Navigation und Inhalt verwendet werden | E Wireframes | F Die Struktur der Informationen, die dem Benutzer zur Verfügung stehen müssen","0 0 0 1 0 1","",""
"Welche zwei der folgenden Aussagen über User-Interface-Elemente sind korrekt?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Die Top-Level-Navigation einer Website ist ein Beispiel für ein UserInterface-Element. | B User-Interface-Elemente sind die Komponenten einer Benutzungsschnittstelle, die interaktiv sind. | C Das Standardisieren von User-Interface-Elementen über interaktive Systeme hinweg fördert die Erlernbarkeit für die Benutzer. | D User-Interface-Elemente werden in Form von Gestaltungsregeln definiert. | E Ein Tooltip ist ein Beispiel für ein User-Interface-Element. | F User-Interface-Elemente sind Lösungen für häufig auftretende Gestaltungsprobleme.","0 0 1 0 1 0","",""
"Welche zwei der folgenden Aussagen beschreiben eine Gestaltung eines interaktiven Systems, die den Grundsätzen des ethischen Designs NICHT folgt?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Beim Einwilligungsbanner auf einer Website (auch »Cookie-Banner« genannt) ist die Standardeinstellung beim Bestätigen durch den Benutzer die bzgl. Datenschutz für ihn beste Einstellung. Dies wird auch durch die DSGVO gesetzlich gefordert. | B Während der Benutzung einer App wird der Benutzer wiederholt darauf aufmerksam gemacht, was die App alles leisten kann und warum er die App weiterbenutzen sollte. | C In einer Fitness-App kann der Benutzer durch Sport und Bewegung Punkte sammeln und damit Preise gewinnen. Wenn der Benutzer sich nicht genug bewegt, wird er von der App erinnert und es werden keine weiteren Punkte vergeben. | D Eine Social-Media-Website bietet dem Benutzer an, einen Newsletter zu abonnieren mit der Formulierung »Abonnieren Sie unseren kostenlosen Newsletter«. Der Benutzer muss zum Abonnieren seinen Namen und seine E-Mail-Adresse angeben sowie weitere persönliche Angaben. | E Eine mobile Zahlungsanwendung zur Benutzung im Restaurant setzt eine Option »Trinkgeld« als Standard. Der Benutzer kann den voreingestellten Trinkgeld-Betrag auswählen oder die Option abwählen. | F Ein Online-Streamingdienst kann einen Monat gratis getestet werden. Der Benutzer wird eine Woche vor Ablauf der Gratis-Zeit informiert und erhält die Möglichkeit, sein Abonnement fortzusetzen, indem er seine Kreditkartendaten zur Bezahlung des Abonnements hinterlegt.","0 0 0 1 1 0","",""
"Welche zwei der folgenden Aussagen über User-Interface-Spezifikationen sind korrekt?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Der Zweck einer User-Interface-Spezifikation ist, die Einhaltung aller relevanten Anforderungen überprüfen zu können. | B Eine allgemeingültige Regelung, welche Farbe wofür verwendet werden darf, ist Bestandteil einer User-Interface-Spezifikation. | C Es kann sein, dass eine User-Interface-Spezifikation nur aus einem annotierten Prototyp besteht. | D Meldungen (Fehlermeldungen, Warnungen, Hinweise) gehören zur Informationsarchitektur und nicht zur User-Interface-Spezifikation. | E Welche User-Interface-Elemente wofür verwendet werden dürfen, ist Bestandteil einer User-Interface-Spezifikation. | F Der primäre Adressat einer User-Interface-Spezifikation sind die Entwickler.","0 0 1 0 0 1","",""
"Welcher eine der folgenden Aspekte ist der primäre Fokus von nachhaltigem Design?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Das nachhaltige Erreichen der Ziele der Benutzer durch die Verwendung des interaktiven Systems | B Das Minimieren des kognitiven Aufwands für die Bedienung des interaktiven Systems | C Das Minimieren des Energieaufwands für die Verwendung des interaktiven Systems | D Die Vermeidung von Umweltverschmutzung und Energieverschwendung bei der Verwendung des interaktiven Systems | E Die dauerhafte Erfüllung aller relevanten Anforderungen durch das interaktive System | F Das Minimieren der erforderlichen Ressourcen für die Nutzung des interaktiven Systems","0 0 0 0 0 1","",""
"Welche drei der folgenden Aussagen sind korrekt in Bezug auf Storyboards?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Storyboards sind etwas Ähnliches wie Nutzungsszenarien. | B Storyboards werden in der Gestaltungsphase erstellt. | C Ein Storyboard ist ähnlich einem Kanban-Board, nur dass es keine Arbeitspakete enthält, sondern User Stories. | D Ein Storyboard ist eine comicartige Darstellung des Zusammenspiels zwischen einem Benutzer und einem interaktiven System. | E Ein Storyboard ist eine umfassende Sammlung aller Nutzungsszenarien für ein zu erstellendes interaktives System. | F Storyboards werden von Benutzern im Rahmen von UsabilityEvaluierungen erstellt.","1 1 0 1 0 0","",""
"Welche drei der folgenden Aussagen über Prototypen und Wireframes sind korrekt?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Ein Wireframe ist ein Bestandteil eines Prototyps. | B Ein Prototyp ist eine Form von Wireframe. | C Bei der Evaluierung von Prototypen können Informationen über den Nutzungskontext ermittelt werden. | D Prototypen werden immer nur in der Designphase und der Evaluierungsphase verwendet. | E Prototypen können als Teil der Spezifikation für die Implementierung der Benutzungsschnittstelle eines interaktiven Systems dienen. | F Wireframes zeigen nicht das visuelle Design des interaktiven Systems, wohl aber das exakte Layout von allen UI-Elementen in einem Screen oder einer Seite.","1 0 1 0 1 0","",""
"Für eine interne Demonstration hat einer Ihrer Kollegen ein neues Bestellsystem auf einigen Blättern Papier skizziert. Jedes Blatt stellt einen Screen dar. Der Inhalt der Screens ist handgezeichnet und unvollständig. Ihr Kollege wechselt die Screens, sobald man auf den Button »klickt«, indem man mit einem Bleistift das Blatt berührt. Welcher eine der folgenden Begriffe beschreibt diese Sammlung von Skizzen am besten?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Gestaltungsregel | B Low-Fidelity-Prototyp | C High-Fidelity-Prototyp | D Wireframe | E Styleguide | F Storyboard","0 1 0 0 0 0","",""
"Welche zwei der folgenden Aussagen beschreiben wichtige Merkmale eines Wireframe?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Ein Wireframe besteht aus Formen wie zum Beispiel Linien, Kästen und Text. | B Ein Wireframe beinhaltet Aspekte des visuellen Designs des interaktiven Systems. | C Ein Wireframe zeigt immer das exakte visuelle Design des interaktiven Systems. | D Ein Wireframe ist eine Seite / ein Screen in einem Low-FidelityPrototyp. | E Ein Wireframe beinhaltet Aspekte des Layouts der User-InterfaceElemente. | F Ein Wireframe zeigt immer das exakte Layout der User-InterfaceElemente.","1 0 0 1 0 0","",""
"Welche zwei der folgenden Punkte stellen einen Ausschnitt eines validen Nutzungsszenarios dar für die Website eines Pizza-Lieferservice und die Aufgabe »Artikel bestellen«?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Hanna geht auf die Website des Pizza-Lieferservice und da sie früher schon einmal dort bestellt hat, wird sie direkt mit Namen begrüßt und gebeten, ihr Benutzerpasswort einzugeben. Nachdem sie das getan hat, sieht sie die Artikel aufgelistet, die in ihren letzten Bestellungen enthalten waren, wo auch ihre selbst zusammengestellte Lieblingspizza dabei ist. Sie wählt diese aus und freut sich, dass sie nicht den Aufwand treiben muss, die Pizza erneut mühsam zusammenzustellen. | B 1. Benutzer identifizieren, entweder automatisch oder durch Angabe des Benutzernamens 2. Benutzer authentifiziert sich durch Eingabe eines Passworts 3. Artikel der letzten Bestellungen auflisten, neueste zuerst 4. Benutzer wählt aus der Liste aus und legt pro Artikel die Anzahl fest | C Der Benutzer gibt sein Passwort ein. Er sieht dann die Artikel seiner letzten Bestellungen in der Reihenfolge »Neueste zuerst«, auch selbst zusammengestellte Pizzen, wenn welche dabei waren. Er kann beliebige Artikel aus der Liste auswählen und diese einfach erneut bestellen. | D Der Benutzer Nr. 3 gibt Benutzernamen und Passwort ein und bekommt dann die Artikel seiner letzten Bestellungen aufgelistet in der Reihenfolge »Neueste zuerst«. Er verzieht das Gesicht und sagt »Warum kann ich denn nicht meine Lieblingsartikel festlegen? Das wäre doch viel praktischer, als nur die letzten Bestellungen zu sehen, wo ja bestimmte Artikel immer wieder aufgelistet werden. Jetzt muss ich durch die ganze lange Liste durchscrollen, um meine selbst zusammengestellte Pizza zu finden, die ich wieder bestellen möchte!« | E Der Benutzer wird identifiziert über ein Feld »Benutzername« (wird wenn möglich automatisch vorausgefüllt mittels Nutzung eines Cookies) und authentifiziert über ein Feld »Passwort«. Alternativ kann er sich auch neu registrieren, ein Bestellen ohne Login soll nicht erlaubt sein. Nach Anklicken des Buttons »Los geht’s« und erfolgreicher Prüfung der Login-Daten bekommt der Benutzer die Artikel seiner letzten Bestellungen aufgelistet in der Reihenfolge »Neueste zuerst«, auch selbst zusammengestellte Pizzen, wenn welche dabei waren. | F Hanna bestellt mindestens zweimal pro Woche eine selbst zusammengestellte Pizza bei ihrer Lieblingspizzeria. Hier kann sie die Pizza dann 15 Minuten später abholen. Ihre Kombinationen von Zutaten sind im Pizzamenü der Pizzeria nicht als Standardpizza enthalten. Manchmal kommt sie beim Anruf durcheinander und vergisst eine Zutat zu nennen, die sie eigentlich haben wollte. Das ärgert sie dann, wenn sie später zu Hause die Pizza genießen will.","1 0 1 0 0 0","",""
"Welcher eine der folgenden Begriffe beschreibt die Abbildung am besten?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Design Pattern | B Nutzungsszenario | C Wireframe | D Bildschirmaufteilung | E Storyboard | F Low-Fidelity-Prototyp","0 0 0 0 0 1","",""
"Welcher eine der folgenden Begriffe beschreibt die unten stehende Abbildung am besten?","7 Lösungen gestalten, die Nutzungsanforderungen erfüllen","A Design Pattern | B Persona | C Nutzungsszenario | D Wireframe | E Styleguide | F Storyboard","0 0 0 1 0 0","",""
